대분류,중분류,메뉴명,사용여부
시스템관리,개발툴,쿼리실행기,Y
인사관리,인사기준정보관리,휴일관리,Y
인사관리,인사기준정보관리,정원 관리,Y
인사관리,인사기준정보관리,정원/현원 관리,Y
인사관리,인사기준정보관리,정원/현원 현황,Y
인사관리,인사기준정보관리,조직도(팀원)정보,Y
인사관리,인사정보관리,인사정보등록,Y
급여관리,급여환경설정,개인별급여기준정보등록,Y
인사관리,인사정보관리,인사정보변경승인,Y
인사관리,인사정보관리,인사기록카드,Y
인사관리,인사정보관리,근로계약서(영월),Y
인사관리,인사정보관리,외부강사관리,Y
인사관리,인사정보관리,업무분장 등록,Y
인사관리,제증명서발급관리,제증명서발급관리,Y
인사관리,제증명서발급관리,증명서발급대장,Y
인사관리,제증명서발급관리,증명서발급신청(신규),Y
인사관리,제증명서발급관리,증명서발급대장(신규),Y
인사관리,제증명서발급관리,기타인명록,Y
인사관리,제증명서발급관리,참여자 인명록,Y
인사관리,제증명서발급관리,외부강사증명서발급신청,N
인사관리,제증명서발급관리,외부강사증명서발급대장,N
인사관리,인사발령관리,인사발령등록,Y
인사관리,인사발령관리,인사발령공고,Y
인사관리,인사발령관리,인사발령이력,Y
인사관리,인사발령관리,인사발령현황,Y
인사관리,인사현황/통계관리,인사현황(재직기준일),Y
인사관리,인사현황/통계관리,인사정보현황,Y
인사관리,인사현황/통계관리,학력/경력현황,Y
인사관리,인사현황/통계관리,가족현황,Y
인사관리,인사현황/통계관리,책정임금현황,Y
인사관리,인사현황/통계관리,상벌현황,Y
인사관리,인사현황/통계관리,사원휴직현황,Y
인사관리,인사현황/통계관리,근속년수현황,Y
인사관리,인사현황/통계관리,사원입사및퇴사현황,Y
인사관리,인사현황/통계관리,연구창작현황,Y
인사관리,인사현황/통계관리,자격증현황,Y
인사관리,인사현황/통계관리,고시현황,Y
인사관리,인사현황/통계관리,직급별인원현황,Y
인사관리,인사현황/통계관리,직렬별인원현황,Y
인사관리,인사현황/통계관리,호봉승급예정현황,Y
인사관리,인사현황/통계관리,노조가입현황,Y
인사관리,인사현황/통계관리,장애현황,Y
인사관리,인사현황/통계관리,개인비상연락망,Y
인사관리,인사현황/통계관리,호봉승급예정현황(연천),Y
인사관리,교육사항관리(구),상벌사항관리,Y
인사관리,교육사항관리(구),교육과정등록,Y
인사관리,교육사항관리(구),교육사항관리,Y
인사관리,교육사항관리(구),교육목표시간관리,Y
인사관리,교육사항관리(구),교육목표대비현황,Y
인사관리,지원근무,지원근무편성,Y
인사관리,지원근무,지원근무배정,Y
인사관리,교육사항관리(신규),교육신청관리,Y
인사관리,교육사항관리(신규),교육과정관리,Y
인사관리,교육사항관리(신규),교육사항관리(신),Y
인사관리,교육사항관리(신규),교육목표시간관리,Y
인사관리,교육사항관리(신규),교육목표대비현황,Y
인사관리,교육사항관리(신규),교육실적현황,Y
인사관리,교육사항관리(신규),개인별교육목표대비현황,N
인사관리,교육사항관리(신규),개인별교육사항현황,N
인사관리,교육사항관리(신규),교육결과보고,Y
인사관리,인사평가,근무실적계획서,Y
급여관리,급여지급관리,기타지급항목입력,Y
급여관리,급여지급관리,상용직급여입력및계산,Y
급여관리,급여지급관리,급여/상여 이체현황,Y
급여관리,급여지급관리,급여대장,Y
급여관리,급여지급관리,급여명세서,Y
급여관리,급여지급관리,급여 명세서 발송(E-MAIL),Y
급여관리,급여지급관리,월 급여/상여 지급현황,Y
급여관리,급여지급관리,급여/상여 집계현황,Y
급여관리,급여지급관리,연간 급여현황,Y
급여관리,급여지급관리,급여/상여 전월 비교,Y
급여관리,급여지급관리,근무수당 관리,Y
급여관리,급여지급관리,근로소득간이지급명세서,Y
급여관리,급여지급관리,개인별 급여지급현황,Y
급여관리,급여지급관리,급여지급분리관리,Y
급여관리,급여지급관리,법원압류관리,Y
급여관리,급여지급관리,학자금대출관리,Y
급여관리,급여지급관리,학자금대출현황,Y
급여관리,급여지급관리,해외파견수당관리,Y
급여관리,급여지급관리,일용직근무수당관리,Y
급여관리,급여지급관리,급여/상여 이체현황(디자인),Y
급여관리,급여지급관리,상여금관리(디자인진흥원),Y
급여관리,급여지급관리,개인별 가족수당지급현황,Y
급여관리,급여지급관리,총인건비 현황,Y
급여관리,급여지급관리,성과급 대상 조회,Y
급여관리,급여지급관리,년도별 급여총괄표,Y
급여관리,급여지급관리,연금/상조/노조현황,Y
급여관리,급여지급관리,직원계좌현황,Y
급여관리,급여지급관리,급여대장(과세금액),Y
급여관리,급여지급관리,과년도 급여대장,Y
급여관리,급여지급관리,과년도 급여첨부파일관리,Y
급여관리,급여지급관리,개인별급여기준정보현황,Y
급여관리,사회보험관리,사회보험납부내역,Y
급여관리,사회보험관리,4대보험 보수총액신고,Y
급여관리,사회보험관리,4대보험 자격취득,Y
급여관리,퇴직정산관리,퇴직금 정산처리,Y
급여관리,퇴직정산관리,퇴직금 추계액 관리,Y
급여관리,퇴직정산관리,퇴직금 정산현황,Y
급여관리,퇴직정산관리,퇴직정산기준설정,Y
급여관리,퇴직정산관리,퇴직연금(DC) 관리,Y
급여관리,연말정산관리,개인별연말정산등록,Y
급여관리,연말정산관리,연말정산마감처리,Y
급여관리,연말정산관리,연말정산내역신고,Y
급여관리,연말정산관리,근로소득원천징수영수증,Y
급여관리,연말정산관리,근로소득원천징수부,Y
급여관리,연말정산관리,노동조합비,Y
급여관리,일용직관리,일용직사원등록,Y
급여관리,일용직관리,일용직사원등록,Y
급여관리,일용직관리,일용근로소득지급명세서,Y
급여관리,일용직관리,일용직사원별근무관리,Y
급여관리,일용직관리,일용직근무관리집계,Y
급여관리,일용직관리,일용직급여입력및계산,Y
급여관리,일용직관리,일용근로소득영수증,Y
급여관리,일용직관리,일용근로소득지급명세서,Y
급여관리,일용직관리,일용직근무시간관리,Y
급여관리,일용직관리,일용직 급여명세서 발송(E-MAIL),Y
